id,dupe,S or P?,6 Cluster,8 Cluster,Prop,authors,A,R,N,D,C,E,Q,G,H,I,L,K,M,F,P,S,T,W,Y,V,Key,Properties
312,TRUE,P,a,a,Value of theta ,i-1,14.53,17.82,13.59,19.78,30.57,18.19,22.18,37.16,22.63,20.28,14.3,14.07,20.61,19.61,52.63,18.56,21.09,19.78,26.36,21.87,RACS820114,"Value of theta(i-1) (Rackovsky-Scheraga, 1982)"
358,FALSE,P,a,a,Principal component I ,"Sneath, 1966",0.239,0.211,0.249,0.171,0.22,0.187,0.26,0.16,0.205,0.273,0.281,0.228,0.253,0.234,0.165,0.236,0.213,0.183,0.193,0.255,SNEP660101,"Principal component I (Sneath, 1966)"
361,FALSE,P,a,a,Principal component IV ,"Sneath, 1966",-0.062,-0.167,0.166,-0.079,0.38,-0.184,-0.025,-0.017,0.056,-0.309,-0.264,-0.371,0.077,0.074,-0.036,0.47,0.348,0.05,0.22,-0.212,SNEP660104,"Principal component IV (Sneath, 1966)"
391,FALSE,P,a,a,Principal property value z3 ,"Wold et al., 1987",0.09,-3.44,0.84,2.36,4.13,-0.07,-1.14,0.3,1.11,-1.03,-0.98,-3.14,-0.41,0.45,2.23,0.57,-1.4,0.85,0.01,-1.29,WOLS870103,"Principal property value z3 (Wold et al., 1987)"
430,FALSE,P,b,b,Free energy in beta-strand conformation ,"Munoz-Serrano, 1994",1.08,0.976,1.197,1.266,0.733,1.085,1.05,1.104,0.906,0.583,0.789,1.026,0.812,0.685,1.412,0.987,0.784,0.755,0.665,0.546,MUNV940103,"Free energy in beta-strand conformation (Munoz-Serrano, 1994)"
431,TRUE,P,b,b,Free energy in beta-strand region ,"Munoz-Serrano, 1994",0.978,0.784,0.915,1.038,0.573,0.962,0.863,1.405,0.724,0.502,0.766,0.841,0.729,0.585,2.613,0.784,0.569,0.671,0.56,0.444,MUNV940104,"Free energy in beta-strand region (Munoz-Serrano, 1994)"
109,FALSE,P,c,c,Composition ,"Grantham, 1974",0,0.65,1.33,1.38,2.75,0.92,0.89,0.74,0.58,0,0,0.33,0,0,0.39,1.42,0.71,0.13,0.2,0,GRAR740101,"Composition (Grantham, 1974)"
136,FALSE,P,c,c,Sequence frequency ,"Jungck, 1978",685,382,397,400,241,427,313,707,155,394,581,575,132,303,366,593,490,99,292,553,JUNJ780101,"Sequence frequency (Jungck, 1978)"
189,FALSE,P,c,c,SD of AA composition of total proteins ,"Nakashima et al., 1990",3.73,3.34,2.33,2.23,2.3,3,2.36,3.36,1.55,2.52,3.4,3.36,1.37,1.94,3.18,2.83,2.63,1.15,1.76,2.53,NAKH900102,"SD of AA composition of total proteins (Nakashima et al., 1990)"
191,FALSE,P,c,c,Normalized composition of mt-proteins ,"Nakashima et al., 1990",-0.6,-1.18,0.39,-1.36,-0.34,-1.16,-0.71,-0.37,0.08,1.44,1.82,-0.84,2.04,1.38,-0.05,0.25,0.66,1.02,0.53,-0.6,NAKH900104,"Normalized composition of mt-proteins (Nakashima et al., 1990)"
193,FALSE,P,c,c,Normalized composition from animal ,"Nakashima et al., 1990",-0.57,-1.29,0.02,-1.54,-0.3,-1.17,-0.71,-0.48,0.1,1.31,2.16,-1.02,2.55,1.42,0.11,0.3,0.99,1.35,0.2,-0.79,NAKH900106,"Normalized composition from animal (Nakashima et al., 1990)"
195,FALSE,P,c,c,Normalized composition from fungi and plant ,"Nakashima et al., 1990",-0.7,-0.91,1.28,-0.93,-0.41,-1.13,-0.71,-0.12,0.04,1.77,1.02,-0.4,0.86,1.29,-0.42,0.14,-0.13,0.26,1.29,-0.19,NAKH900108,"Normalized composition from fungi and plant (Nakashima et al., 1990)"
197,FALSE,P,c,c,Normalized composition of membrane proteins ,"Nakashima et al., 1990",0.34,-0.57,-0.27,-0.56,-0.32,-0.43,-0.34,0.48,-0.19,0.39,0.52,-0.75,0.47,1.3,-0.19,-0.2,-0.04,0.77,0.07,0.36,NAKH900110,"Normalized composition of membrane proteins (Nakashima et al., 1990)"
455,FALSE,P,c,c,Composition of amino acids in extracellular proteins  ,percent,8.6,4.2,4.6,4.9,2.9,5.1,4,7.8,2.1,4.6,8.8,6.3,2.5,3.7,4.9,7.3,6,1.4,3.6,6.7,CEDJ970101,"Composition of amino acids in extracellular proteins (percent) (Cedanoet  al., 1997)"
456,FALSE,P,c,c,Composition of amino acids in anchored proteins  ,percent,7.6,5,4.4,5.2,2.2,6.2,4.1,6.9,2.1,5.1,9.4,5.8,2.1,4,5.4,7.2,6.1,1.4,3.2,6.7,CEDJ970102,"Composition of amino acids in anchored proteins (percent) (Cedano etal.,  1997)"
458,FALSE,P,c,c,Composition of amino acids in intracellular proteins  ,percent,7.9,4.9,4,5.5,1.9,7.1,4.4,7.1,2.1,5.2,8.6,6.7,2.4,3.9,5.3,6.6,5.3,1.2,3.1,6.8,CEDJ970104,"Composition of amino acids in intracellular proteins (percent) (Cedanoet  al., 1997)"
459,FALSE,P,c,c,Composition of amino acids in nuclear proteins  ,percent,8.3,8.7,3.7,4.7,1.6,6.5,4.7,6.3,2.1,3.7,7.4,7.9,2.3,2.7,6.9,8.8,5.1,0.7,2.4,5.3,CEDJ970105,"Composition of amino acids in nuclear proteins (percent) (Cedano etal.,  1997)"
464,FALSE,P,c,c,Interior composition of amino acids in intracellular proteins of thermophiles   ,percent,9.88,3.71,2.35,3.5,1.12,4.02,1.66,6.88,1.88,10.08,13.21,3.39,2.44,5.27,3.8,4.1,4.98,1.11,4.07,12.53,FUKS010105,"Interior composition of amino acids in intracellular proteins of thermophiles  (percent) (Fukuchi-Nishikawa, 2001)"
465,FALSE,P,c,c,Interior composition of amino acids in intracellular proteins of mesophiles   ,percent,10.98,3.26,2.85,3.37,1.47,3.51,2.3,7.48,2.2,9.74,12.79,2.54,3.1,4.97,3.42,4.93,5.55,1.28,3.55,10.69,FUKS010106,"Interior composition of amino acids in intracellular proteins of mesophiles  (percent) (Fukuchi-Nishikawa, 2001)"
466,FALSE,P,c,c,Interior composition of amino acids in extracellular proteins of mesophiles   ,percent,9.95,3.05,4.84,4.46,1.3,2.58,2.64,8.87,1.99,7.73,9.66,2,2.45,5.41,3.2,6.03,5.62,2.6,6.15,9.46,FUKS010107,"Interior composition of amino acids in extracellular proteins of mesophiles  (percent) (Fukuchi-Nishikawa, 2001)"
467,FALSE,P,c,c,Interior composition of amino acids in nuclear proteins   ,percent,8.26,2.8,2.54,2.8,2.67,2.67,2.86,5.62,1.98,8.95,16.46,1.89,2.67,7.32,3.3,6,5,2.01,3.96,10.24,FUKS010108,"Interior composition of amino acids in nuclear proteins (percent)  (Fukuchi-Nishikawa, 2001)"
468,FALSE,P,c,c,Entire chain composition of amino acids in intracellular proteins ofthermophiles  ,percent,7.39,5.91,3.06,5.14,0.74,9.8,2.22,7.53,1.82,6.96,9.45,7.81,2.1,3.91,4.54,4.18,4.45,0.9,3.46,8.62,FUKS010109,"Entire chain composition of amino acids in intracellular proteins ofthermophiles (percent) (Fukuchi-Nishikawa, 2001)"
469,FALSE,P,c,c,Entire chain composition of amino acids in intracellular proteins ofmesophiles  ,percent,9.07,4.9,4.05,5.73,0.95,7.77,3.63,7.69,2.47,6.56,9,6.01,2.54,3.59,4.04,5.15,5.46,0.95,2.96,7.47,FUKS010110,"Entire chain composition of amino acids in intracellular proteins ofmesophiles (percent) (Fukuchi-Nishikawa, 2001)"
470,FALSE,P,c,c,Entire chain composition of amino acids in extracellular proteins ofmesophiles  ,percent,8.82,3.71,6.77,6.38,0.9,4.05,3.89,9.11,1.77,5.05,6.54,5.45,1.62,3.51,4.28,7.64,7.12,1.96,4.85,6.6,FUKS010111,"Entire chain composition of amino acids in extracellular proteins ofmesophiles (percent) (Fukuchi-Nishikawa, 2001)"
471,FALSE,P,c,c,Entire chain compositino of amino acids in nuclear proteins ,percent,6.65,5.17,4.4,5.5,1.79,6.89,4.52,5.72,2.13,5.47,10.15,7.59,2.24,4.34,4.56,6.52,5.08,1.24,3.01,7,FUKS010112,"Entire chain compositino of amino acids in nuclear proteins (percent)(Fukuchi-Nishikawa, 2001)"
13,FALSE,P,h,e,Transfer free energy to surface ,"Bull-Breese, 1974",-0.2,-0.12,0.08,-0.2,-0.45,-0.3,0.16,0,-0.12,-2.26,-2.46,-0.35,-1.47,-2.33,-0.98,-0.39,-0.52,-2.01,-2.24,-1.56,BULH740101,"Transfer free energy to surface (Bull-Breese, 1974)"
17,FALSE,P,a,e,Spin-spin coupling constants 3JHalpha-NH ,"Bundi-Wuthrich, 1979",6.5,6.9,7.5,7,7.7,7,6,5.6,8,7,6.5,6.5,0,9.4,0,6.5,6.9,0,6.8,7,BUNA790103,"Spin-spin coupling constants 3JHalpha-NH (Bundi-Wuthrich, 1979)"
21,FALSE,P,p,e,Polarizability parameter ,"Charton-Charton, 1982",0.046,0.291,0.134,0.105,0.128,0.151,0.18,0,0.23,0.186,0.186,0.219,0.221,0.29,0.131,0.062,0.108,0.409,0.298,0.14,CHAM820101,"Polarizability parameter (Charton-Charton, 1982)"
29,FALSE,P,b,e,A parameter of charge transfer capability ,"Charton-Charton, 1983",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CHAM830107,"A parameter of charge transfer capability (Charton-Charton, 1983)"
30,FALSE,P,c,e,A parameter of charge transfer donor capability ,"Charton-Charton, 1983",0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,CHAM830108,"A parameter of charge transfer donor capability (Charton-Charton, 1983)"
70,FALSE,P,h,e,Direction of hydrophobic moment ,"Eisenberg-McLachlan, 1986",0,-0.96,-0.86,-0.98,0.76,-0.89,-1,0,-0.75,0.99,0.89,-0.99,0.94,0.92,0.22,-0.67,0.09,0.67,-0.93,0.84,EISD860103,"Direction of hydrophobic moment (Eisenberg-McLachlan, 1986)"
74,FALSE,P,p,e,pK-N ,"Fasman, 1976",9.69,8.99,8.8,9.6,8.35,9.67,9.13,9.78,9.17,9.68,9.6,9.18,9.21,9.18,10.64,9.21,9.1,9.44,9.11,9.62,FASG760104,"pK-N (Fasman, 1976)"
75,FALSE,P,p,e,pK-C ,"Fasman, 1976",2.34,1.82,2.02,1.88,1.92,2.1,2.17,2.35,1.82,2.36,2.36,2.16,2.28,2.16,1.95,2.19,2.09,2.43,2.2,2.32,FASG760105,"pK-C (Fasman, 1976)"
84,FALSE,P,h,e,Localized electrical effect ,"Fauchere et al., 1988",-0.01,0.04,0.06,0.15,0.12,0.07,0.05,0,0.08,-0.01,-0.01,0,0.04,0.03,0,0.11,0.04,0,0.03,0.01,FAUJ880108,"Localized electrical effect (Fauchere et al., 1988)"
85,FALSE,P,h,e,Number of hydrogen bond donors ,"Fauchere et al., 1988",0,4,2,1,0,1,2,0,1,0,0,2,0,0,0,1,1,1,1,0,FAUJ880109,"Number of hydrogen bond donors (Fauchere et al., 1988)"
86,FALSE,P,h,e,Number of full nonbonding orbitals ,"Fauchere et al., 1988",0,3,3,4,0,4,3,0,1,0,0,1,0,0,0,2,2,0,2,0,FAUJ880110,"Number of full nonbonding orbitals (Fauchere et al., 1988)"
87,FALSE,P,p,e,Positive charge ,"Fauchere et al., 1988",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,FAUJ880111,"Positive charge (Fauchere et al., 1988)"
88,FALSE,P,p,e,Negative charge ,"Fauchere et al., 1988",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FAUJ880112,"Negative charge (Fauchere et al., 1988)"
89,FALSE,P,p,e,pK-a ,RCOOH,4.76,4.3,3.64,5.69,3.67,5.48,4.54,3.77,2.84,4.81,4.79,4.27,4.25,4.31,0,3.83,3.87,4.75,4.3,4.86,FAUJ880113,"pK-a(RCOOH) (Fauchere et al., 1988)"
110,TRUE,P,p,e,Polarity ,"Grantham, 1974",8.1,10.5,11.6,13,5.5,12.3,10.5,9,10.4,5.2,4.9,11.3,5.7,5.2,8,9.2,8.6,5.4,6.2,5.9,GRAR740102,"Polarity (Grantham, 1974)"
112,FALSE,P,h,e,Partition energy ,"Guy, 1985",0.1,1.91,0.48,0.78,-1.42,0.83,0.95,0.33,-0.5,-1.13,-1.18,1.4,-1.59,-2.12,0.73,0.52,0.07,-0.51,-0.21,-1.27,GUYH850101,"Partition energy (Guy, 1985)"
